epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,1.0,1.0,9.999999747378752e-06,0.006140222307294607,1.0,1.0,1.0,1.0,0.001971319317817688,1.0,1.0
1,0.9990909099578857,0.9999979138374329,9.999999747378752e-06,0.006913133431226015,0.9990909099578857,0.9990909099578857,1.0,1.0,0.0017405446851626039,1.0,1.0
2,1.0,0.9999999403953552,9.999999747378752e-06,0.003910541534423828,1.0,1.0,1.0,1.0,0.001583656994625926,1.0,1.0
3,0.9990909099578857,0.9999993443489075,9.999999747378752e-06,0.005634587723761797,0.9990909099578857,0.9990909099578857,1.0,1.0,0.0015252497978508472,1.0,1.0
